Model,Train Accuracy,Train F1-Score,Train Loss,Validation Accuracy,Validation F1-Score,Validation Loss
ResNet-50,0.2746,0.2033,5.6706,0.1174,0.0697,7.1465
ResNet-18,0.1492,0.0372,4.6479,0.1458,0.0379,4.5547
ResNet Hyperband 1,0.14696428179740906,0.07071903347960955,4.329751491546631,0.13800778985023499,0.054007772356271744,4.547950744628906
ResNet Hyperband 2,0.19598214328289032,0.10196379572153091,4.010258674621582,0.1424596607685089,0.05373654142022133,4.627474308013916
ResNet Hyperband 3,0.18866071105003357,0.12087336927652359,3.9396309852600098,0.14691151678562164,0.06710793823003769,4.395938873291016
