acc,auc,f1_score,loss,val_acc,val_auc,val_f1_score,val_loss,learning_rate
0.5200285911560059,0.9660447239875793,0.3931019902229309,2.2482693195343018,0.5492487549781799,0.9707542657852173,0.3894781470298767,2.167034864425659,7.585775892948732e-05
0.5325465202331543,0.9693506956100464,0.4168074131011963,2.17215633392334,0.55759596824646,0.9715778827667236,0.40656793117523193,2.1108548641204834,7.413102866848931e-05
0.5472102761268616,0.9710755348205566,0.4351986348628998,2.1120400428771973,0.5703951120376587,0.973121166229248,0.4248567819595337,2.059770345687866,7.244360313052312e-05
0.556390106678009,0.9729137420654297,0.45357128977775574,2.050995111465454,0.5748469829559326,0.9739394187927246,0.4367486238479614,2.01365327835083,7.07945873728022e-05
0.5658082962036133,0.9759335517883301,0.46560367941856384,2.0010433197021484,0.5870895981788635,0.9751459360122681,0.46027275919914246,1.9755353927612305,6.918310828041285e-05
0.5766571164131165,0.9766892790794373,0.4848748445510864,1.9488215446472168,0.5904284715652466,0.9753182530403137,0.46591851115226746,1.939097285270691,6.76083072903566e-05
0.584406316280365,0.9771114587783813,0.5023990869522095,1.9161617755889893,0.5993322134017944,0.974793553352356,0.48272842168807983,1.90983247756958,6.606935494346544e-05
0.5901287794113159,0.9780243635177612,0.5022265911102295,1.8796195983886719,0.6043405532836914,0.9751036763191223,0.4929279386997223,1.880678653717041,6.456543633248657e-05
0.5984740257263184,0.9787423610687256,0.5206839442253113,1.8441497087478638,0.6071229577064514,0.9753284454345703,0.49853020906448364,1.8569085597991943,6.309575110208243e-05
0.6053886413574219,0.9793260097503662,0.5299338698387146,1.811630129814148,0.6104618906974792,0.9758152961730957,0.5031633377075195,1.8338453769683838,6.16595134488307e-05
0.6089652180671692,0.9790652990341187,0.5354841351509094,1.796237587928772,0.6154702305793762,0.9754981994628906,0.5178093910217285,1.8137462139129639,6.025597031111829e-05
0.6190987229347229,0.9811533689498901,0.5482555627822876,1.7652138471603394,0.6165831685066223,0.9761871099472046,0.5203145742416382,1.7945175170898438,5.8884375903289765e-05
0.6287553906440735,0.9814152121543884,0.5635523200035095,1.7377289533615112,0.6182526350021362,0.9763532876968384,0.5255058407783508,1.7775204181671143,5.75440026295837e-05
0.6397234201431274,0.98216313123703,0.5802367925643921,1.702115774154663,0.6249304413795471,0.9768010377883911,0.534428596496582,1.7620216608047485,5.6234141084132716e-05
0.635670006275177,0.9828140139579773,0.5738931894302368,1.6960564851760864,0.626599907875061,0.9766055941581726,0.538230299949646,1.7494277954101562,5.4954096412984654e-05
0.6365045309066772,0.9831953048706055,0.5769262909889221,1.680558204650879,0.6282693147659302,0.9767478704452515,0.5411112904548645,1.734682559967041,5.370318831410259e-05
0.646041989326477,0.9826541543006897,0.5922858119010925,1.6615666151046753,0.629382312297821,0.9771042466163635,0.5440501570701599,1.7237863540649414,5.248075467534363e-05
0.6502146124839783,0.9842252135276794,0.5886055827140808,1.6380209922790527,0.6304952502250671,0.9772048592567444,0.5430024862289429,1.7126621007919312,5.128614793648012e-05
0.65367192029953,0.9844425320625305,0.5998613834381104,1.6199898719787598,0.631051778793335,0.9775407314300537,0.5446382164955139,1.701521396636963,5.011873145122081e-05
0.6580829620361328,0.9837352633476257,0.6048905253410339,1.6050926446914673,0.633834183216095,0.9776785373687744,0.5488798022270203,1.691972255706787,4.8977890401147306e-05
0.6621363759040833,0.9856428503990173,0.6138532161712646,1.587992548942566,0.6355035901069641,0.9777166843414307,0.5552386045455933,1.684058666229248,4.786301724379882e-05
0.6605865359306335,0.9845026135444641,0.6112105250358582,1.585499882698059,0.6388425230979919,0.9772965312004089,0.5588251352310181,1.6742280721664429,4.677352262660861e-05
0.6700047850608826,0.9864268898963928,0.6238570809364319,1.5615068674087524,0.641624927520752,0.9773464202880859,0.564487874507904,1.6679866313934326,4.570882811094634e-05
0.6713161468505859,0.984876275062561,0.6279404163360596,1.5601401329040527,0.6460767984390259,0.977393627166748,0.5722562670707703,1.659788966178894,4.466836981009692e-05
0.6714353561401367,0.9857373833656311,0.6271095871925354,1.553849697113037,0.644963800907135,0.9774484634399414,0.5698269009590149,1.6533228158950806,4.3651594751281664e-05
0.6739389896392822,0.9857511520385742,0.6311191916465759,1.5430647134780884,0.644963800907135,0.9775331020355225,0.5706933736801147,1.6468737125396729,4.2657964513637125e-05
0.6822842359542847,0.9862685799598694,0.6433916687965393,1.5137747526168823,0.6477462649345398,0.9773446917533875,0.575736403465271,1.6391284465789795,4.1686951590236276e-05
0.6824034452438354,0.986250102519989,0.6412203907966614,1.5145717859268188,0.647189736366272,0.977391242980957,0.5763292908668518,1.6348973512649536,4.073803938808851e-05
0.6841917037963867,0.9873788356781006,0.641528308391571,1.499522089958191,0.6483027338981628,0.9774571061134338,0.5780228972434998,1.6292469501495361,3.981072950409725e-05
0.6858607530593872,0.9877668023109436,0.6451316475868225,1.4963915348052979,0.6483027338981628,0.977471113204956,0.5761145353317261,1.624706506729126,3.890452717314474e-05
0.6833571791648865,0.9874256253242493,0.6407381296157837,1.4950751066207886,0.6499722003936768,0.9775316715240479,0.5797739624977112,1.6192584037780762,3.801895218202844e-05
0.6938483715057373,0.9882853031158447,0.6566184759140015,1.4762378931045532,0.6510851383209229,0.9775713682174683,0.5823894739151001,1.614894986152649,3.715353523148224e-05
0.6919408440589905,0.9870865941047668,0.6496831774711609,1.4743508100509644,0.6510851383209229,0.9776173830032349,0.5815533399581909,1.6103159189224243,3.6307817936176434e-05
